BarCode,Part #,Product,Quantity,Code,Case,Tracking #,Set,Flag Notes,RFID
7179,K&M Speaker Stand,K&M Speaker Stand,1,,07,,Audio,,
7743,MIC/SPEAKER STAND TUBE,MIC/SPEAKER STAND TUBE,1,,07,,Audio,,
7847,K&M Speaker Stand,K&M Speaker Stand,1,,01,,Audio,,
7180,K&M Speaker Stand,K&M Speaker Stand,1,,01,,Audio,,
7172,K&M Speaker Stand,K&M Speaker Stand,1,,01,,Audio,,
7171,K&M Speaker Stand,K&M Speaker Stand,1,,01,,Audio,,
7737,MIC/SPEAKER STAND TUBE,MIC/SPEAKER STAND TUBE,1,,01,,Audio,,
3883,CROWNXLS2500,Crown - XLS2500,1,,,,Audio,,
3960,CROWNXLS2500,Crown - XLS2500,1,,,,Audio,,
2652,DBXDRIVERACKPA,Dbx Drive Rack PA / PA+,1,,,,Audio,,
6569,XLS4CHAMPRACK,Crown - XLS2500 4 ch Amp Rack,1,,792,,Audio,,
3642,STX812M,JBL - STX812M,1,,715,,Audio,,
3967,STX812M,JBL - STX812M,1,,715,,Audio,,
7582,JBL STX812M CASE,JBL STX812M CASE,1,,715,,Audio,,
3750,POWERCONTOEDISON,PowerCon to Male Edison Cable,4,,6BAR06,,Lighting,,
4400,SIXBARFROST,ELATION SIXBAR Frost,4,,6BAR06,,Lighting,,
4401,SIXBARGLARESHIELD,SIXBAR Glare Shield,4,,6BAR06,,Lighting,,
4416,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR06,,Lighting,,
4394,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR06,,Lighting,,
4388,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR06,,Lighting,,
4391,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR06,,Lighting,,
7680,ELATION  SIXBAR  1000 CASE,ELATION  SIXBAR 1000 CASE,1,,6BAR06,,Lighting,,
5402,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR01,,Lighting,,
4475,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR01,,Lighting,,
4399,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR01,,Lighting,,
4472,SIXBAR1000,Elation - SIXBAR 1000,1,,6BAR01,,Lighting,,
3750,POWERCONTOEDISON,PowerCon to Male Edison Cable,4,,6BAR01,,Lighting,,
4400,SIXBARFROST,ELATION SIXBAR Frost,4,,6BAR01,,Lighting,,
4401,SIXBARGLARESHIELD,SIXBAR Glare Shield,4,,6BAR01,,Lighting,,
7675,ELATION  SIXBAR  1000 CASE,ELATION  SIXBAR 1000 CASE,1,,6BAR01,,Lighting,,
3969,STX812M,JBL - STX812M,1,,714,,Audio,,
3966,STX812M,JBL - STX812M,1,,714,,Audio,,
7583,JBL STX812M CASE,JBL STX812M CASE,1,,714,,Audio,,
6669,AUDIOMACBOOK,"Audio MacBook Pro 13.3""",1,,1550,,Audio,,
6670,ECHO 11 THUNDERBOLT 4 DOCK,SONNET ECHO 11 THUNDERBOLT 4 DOCK,1,,1550,,Audio,,SOUND DEPT
6698,STREAMDECKXL,Stream Deck XL,1,,1550,,Audio,,
8422,THUNDERBOLT  4 USB C CABLE,THUNDERBOLT  4 USB C CABLE,1,,1550,,Audio,,
